age,gender,fall.asleep,awake,problem,quality,energy,productivity,troubled,problem.time,major,duration,Score
20,2,1,2,1,3,2,3,3,1,3,6.5,24
19,2,1,1,1,4,3,5,3,2,3,5,20
18,2,1,1,1,2,3,3,3,5,3,6,21
18,2,2,1,5,5,3,5,4,3,3,5,12
19,2,1,3,2,3,3,4,2,5,2,6,17
19,2,1,1,1,1,5,5,2,1,3,4,23
19,2,1,2,1,3,5,5,5,2,4,6,16
19,2,1,1,1,2,2,4,2,1,4,8,26
18,1,1,2,1,3,3,4,3,1,3,6,22
19,1,2,1,1,3,2,3,2,1,3,6.5,25
19,2,1,1,1,3,4,4,4,1,3,7,21
19,1,1,1,1,3,2,4,2,1,3,6,25
18,2,1,1,2,3,3,4,3,2,3,5.75,21
21,1,1,1,1,3,4,4,3,1,3,6,22
19,2,1,1,1,3,4,5,2,1,3,8,22
22,2,2,2,4,4,4,5,4,5,3,5,10
18,2,2,2,1,2,2,2,2,1,1,7,26
19,1,2,1,1,2,2,1,2,1,3,8.5,28
19,2,1,1,1,1,3,3,1,1,4,8.5,28
20,2,1,1,1,2,2,3,1,1,3,7,28
21,2,1,1,1,2,2,2,1,1,1,6.5,29
19,2,2,1,4,4,3,4,4,4,1,5,14
19,1,1,1,2,2,3,4,3,1,2,5.5,23
20,1,2,1,1,3,2,3,2,5,1,6,21
19,2,1,1,1,4,4,3,3,2,3,4.5,21
19,2,4,3,5,4,3,4,2,5,3,8,10
19,2,1,1,1,4,3,4,4,4,3,6.5,18
19,2,1,3,3,3,4,3,4,1,3,5,18
19,2,1,2,1,2,4,4,3,2,2,7,21
18,2,4,2,3,3,4,4,3,3,4,5,14
20,1,2,1,2,3,3,3,1,5,4,8,20
19,2,2,5,2,4,3,2,3,2,4,5,17
21,1,1,1,1,2,2,1,1,1,3,8,30
18,1,1,1,1,3,3,4,2,5,3,8.5,20
20,2,1,1,1,1,2,3,1,1,3,6,29
19,2,5,4,5,4,4,5,4,2,4,5,7
19,2,1,2,1,4,3,4,2,1,4,5.5,22
21,2,4,3,4,4,4,4,3,5,3,3,9
19,1,2,1,2,3,3,3,2,5,3,7,19
19,2,3,1,1,2,2,3,2,1,2,9,25
19,1,2,1,2,2,1,3,2,1,3,7,26
20,2,2,1,1,3,3,5,4,1,1,7,20
19,1,2,1,2,1,4,4,4,1,3,8.5,21
19,2,1,1,1,3,3,3,2,1,2,7,25
17,2,1,1,1,2,2,4,2,1,3,6,26
23,1,1,1,1,4,3,4,2,2,3,6,22
18,2,2,3,3,3,3,2,3,5,3,9,16
15,2,1,1,1,3,3,3,3,1,3,6,24
18,1,1,1,1,2,2,1,2,1,2,7.5,29
18,2,1,1,1,2,3,3,3,1,4,6,25
21,1,2,1,4,4,5,5,5,4,2,8,10
19,2,1,1,2,4,4,3,3,4,4,8,18
19,1,2,1,4,2,2,1,1,2,2,7,25
18,2,1,2,1,3,2,2,1,1,1,6.5,27
18,2,1,1,2,2,2,3,3,5,3,4,21
19,2,1,1,2,2,3,5,3,1,3,6,22
18,1,1,1,1,1,2,1,2,1,1,5.5,30
19,1,5,2,5,4,3,2,3,5,3,6,11
19,1,2,1,1,3,2,2,1,1,2,7,27
19,2,2,1,1,3,1,2,2,1,3,6,27
20,2,2,2,2,2,2,4,2,1,4,7,23
19,2,4,4,5,5,5,4,4,5,4,6,4
19,2,1,1,2,3,3,4,4,1,4,6,21
19,2,1,1,1,2,2,3,2,1,4,6.5,27
23,2,3,3,3,2,1,2,3,1,4,8,22
21,2,2,5,1,1,1,1,1,1,4,9,27
26,2,1,1,1,1,1,1,1,1,4,8,32
